"name","description","municipal","type","cost"
"Освоение Урсинского каменноугольного месторождения","По свойствам отвечают антрацитам, группе Т. Макроскопически угли черные со стеклянным или металлическим блеском, в проходящем свете непрозрачны. Сырье также пригодно для технологического передела - производства электродов, электрокорунда.",", Еравнинский район близ границы с Забайкальским краем, в бассейне реки Конды. Крупная автомагистраль Чита - Романовка проложена в 40-45 км севернее площади месторождения.","Минерально-сырье"," 1 116 млн. руб.  На дату проведения расчета (24.11.2011 г.)"
"Освоение Мохового месторождения олова","Запасы руды 1106 тысяч т при годовой добыче рудника в 100 тысяч т уже обеспечивают рентабельную бесперебойную работу предприятия в течение 10 лет. При обогащении получены оловянные концентраты марок КО-2, КОЗ-1,2, КОШ-1,2; извлечение олова 78%.","Муйский район. Расположено в 115 километрах от ж/д станции Таксимо (БАМ), с п. Таксимо связано автодорогой 3 класса (Таксимо – Ирокинда) – 70 км и далее технологической автодорогой.","Минерально-сырье"," 450 млн. руб. На дату проведения расчета (24.11.2011 г.)"
"Освоение Мухальского месторождения нефелиновых руд","Возможно получение в год 650 тыс. т глинозема для алюминия, 454 тыс. т кальцинированной соды, 3,3 млн. т цемента марки М400, 323 тыс. т бесхлорных калийно-фосфорных удобрений. ","Баунтовский район. В 75 км к юго-западу от месторождения вдоль автомобильной дороги Романовка – Багдарин проходит ЛЭП 110 кВ.","Минерально-сырье","50 900 млн. руб. На дату проведения расчета (24.11.2011 г.)"
"Освоение Сыннырского калийно-глиноземного месторождения","Годовая производительность может составить: глинозем – 650 тыс. т; калийные удобрения – 1820 тыс. т; цемент – 3300 тыс. т.  Есть проявления циркония, тория, редкоземельных металлов. ","Северо-Байкальский район. Расстояние от железной дороги 80 км, по автозимнику – 120 км. В 80 км к югу от объекта вдоль БАМа ЛЭП 220 кВ. Транспортное сообщение с п. Новый Уоян по грунтовой дороге, требующей реконструкции","Минерально-сырье","59 980 млн. руб. На дату проведения расчета (24.11.2011 г.)"
"Освоение Чайского сульфидного медно-никелевого месторождения","Оруденение прослежено на глубину 1000-1200 м. Запасы Ni - 260 тыс. т, Cu - 86 тыс. т, Co - 10,7 тыс. т при средних содержаниях 0,55, 0,18 и 0,023 мас. %. Прогнозные ресурсы Ni - 800 тыс. т, Cu - 270 тыс. т, Co - 33 тыс. т","Северо-Байкальский район Расстояние до ближайшей железной дороги–120 км, до пос. Нижнеангарск–125 км. Вдоль железной дороги проходит 2-х линейная ЛЭП-220 кВ. Имеется лесовозная дорога, требующая реконструкции.","Минерально-сырье","1 324 млн. руб. На дату проведения расчета (24.11.2011 г.)"
"Освоение Чулбонского месторождения гранулированного кварца","Кварцевая крупка из сырья соответствует 2 и 3 сортам по ТУ 41-07-008-82 «Кварц жильный прозрачный для производства кварцевого стекла». По существующей технологии глубокого обогащения можно получить кварцевый концентрат I сорта. Способ отработки-открытый. ","Северо-Байкальский район. 110 км к юго-востоку от пос. Нижнеангарск, в 150 км к юго-западу от железно-дорожной станции Новый Уоян (БАМ).","Минерально-сырье","707 млн. руб. На дату проведения расчета (24.11.2011 г.)"
"Освоение Эландинского месторождения бурого угля","Месторождение детально разведано и подготовлено для промышленного освоения. Горно-геологические условия освоения сложные ввиду распространения здесь многолетнемерзлых пород и напорных подмерзлотных вод. Гидрогеологические условия также сложные, поверхность заболочена.","Баунтовский район","Минерально-сырье","2 130 млн. руб."
"Торфяное месторождение «Каштаки»","null","Расположено в Кабанском районе Республики Бурятия","Минерально-сырье","null"
"Освоение Витимконского титаномагнетитового рудного поля","Годовая производительность может составить по руде – 20 млн. т, TiO2 – 1422 тыс. т, FeO – 4000 тыс. т, V2O5 – 25 тыс. т. Необходимо дополнительное изучение руд на скандий, платиновые металлы, медь, кобальт.","Муйский район Витимконский габброидный массив находится в 30 км юго-восточнее пос. Ирокинда.","Минерально-сырье",""
"Освоение Мало-Ойногорского месторождения вольфрам-молибденовых руд","ЛЭП мощностью 110 кВ проходит в 13 км от месторождения через п. Цакир вдоль дороги Улан- Удэ – Закаменск. Проектом предусматривается строительство горно-обогатительного комбината.","Закаменский район Месторождение находится в 15 км на юго-восток от г. Закаменск","Минерально-сырье"," 4800 млн. руб."
